fila,codigo,costo_fabrica,marca,ciudad
31,IP67 PVC connector,3.57,LEDYI,SHENZHEN
147,IP67 PVC connector,3.57,LEDYI,SHENZHEN
268,IP67 PVC connector,3.57,LEDYI,SHENZHEN
387,IP67 PVC connector,3.57,LEDYI,SHENZHEN
506,IP67 PVC connector,3.57,LEDYI,SHENZHEN
641,IP67 PVC connector,3.57,LEDYI,SHENZHEN
723,IP67 PVC connector,3.57,LEDYI,SHENZHEN
933,IP67 PVC connector,2.98,LEDYI,SHENZHEN
993,IP67 PVC connector,2.02,LEDYI,SHENZHEN
1081,IP67 PVC connector,2.62,LEDYI,SHENZHEN
1169,IP67 PVC connector,3.57,LEDYI,SHENZHEN
1412,IP67 PVC connector,3.57,LEDYI,SHENZHEN
1551,IP67 PVC connector,3.57,LEDYI,SHENZHEN
1650,IP67 PVC connector,2.98,LEDYI,SHENZHEN
1685,IP67 PVC connector,3.57,LEDYI,SHENZHEN
1896,IP67 PVC connector,3.57,LEDYI,SHENZHEN
2114,IP67 PVC connector,3.57,LEDYI,SHENZHEN
2159,IP67 PVC connector,2.02,LEDYI,SHENZHEN
142,S2020-cap-E-IP67- V2,1.21,LEDYI,SHENZHEN
143,S2020-cap-E-IP67- V2,1.93,LEDYI,SHENZHEN
144,Silicone Cable,1.79,LEDYI,SHENZHEN
265,Silicone Cable,2.38,LEDYI,SHENZHEN
384,Silicone Cable,2.38,LEDYI,SHENZHEN
503,Silicone Cable,1.79,LEDYI,SHENZHEN
638,Silicone Cable,2.38,LEDYI,SHENZHEN
719,Silicone Cable,2.38,LEDYI,SHENZHEN
938,Silicone Cable,2.38,LEDYI,SHENZHEN
1002,Silicone Cable,1.31,LEDYI,SHENZHEN
1409,Silicone Cable,2.38,LEDYI,SHENZHEN
1548,Silicone Cable,2.38,LEDYI,SHENZHEN
1646,Silicone Cable,2.38,LEDYI,SHENZHEN
1790,Silicone Cable,2.38,LEDYI,SHENZHEN
1893,Silicone Cable,2.38,LEDYI,SHENZHEN
2111,Silicone Cable,2.38,LEDYI,SHENZHEN
2156,Silicone Cable,1.31,LEDYI,SHENZHEN
145,anti syphon metal ring,0.71,LEDYI,SHENZHEN
266,anti syphon metal ring,1.00,LEDYI,SHENZHEN
385,anti syphon metal ring,1.00,LEDYI,SHENZHEN
504,anti syphon metal ring,0.71,LEDYI,SHENZHEN
639,anti syphon metal ring,1.00,LEDYI,SHENZHEN
720,anti syphon metal ring,1.00,LEDYI,SHENZHEN
939,anti syphon metal ring,1.00,LEDYI,SHENZHEN
1003,anti syphon metal ring,0.60,LEDYI,SHENZHEN
1237,anti syphon metal ring,0.60,LEDYI,SHENZHEN
1286,anti syphon metal ring,1.00,LEDYI,SHENZHEN
1410,anti syphon metal ring,1.00,LEDYI,SHENZHEN
1549,anti syphon metal ring,1.00,LEDYI,SHENZHEN
1647,anti syphon metal ring,1.00,LEDYI,SHENZHEN
1792,anti syphon metal ring,1.00,LEDYI,SHENZHEN
1894,anti syphon metal ring,1.00,LEDYI,SHENZHEN
2112,anti syphon metal ring,1.00,LEDYI,SHENZHEN
2157,anti syphon metal ring,0.60,LEDYI,SHENZHEN
148,IP67 Silicone Connector,3.45,LEDYI,SHENZHEN
269,IP67 Silicone Connector,4.76,LEDYI,SHENZHEN
388,IP67 Silicone Connector,4.76,LEDYI,SHENZHEN
507,IP67 Silicone Connector,3.45,LEDYI,SHENZHEN
642,IP67 Silicone Connector,4.76,LEDYI,SHENZHEN
721,IP67 Silicone Connector,4.76,LEDYI,SHENZHEN
934,IP67 Silicone Connector,4.76,LEDYI,SHENZHEN
994,IP67 Silicone Connector,2.98,LEDYI,SHENZHEN
1413,IP67 Silicone Connector,4.76,LEDYI,SHENZHEN
1552,IP67 Silicone Connector,4.76,LEDYI,SHENZHEN
1648,IP67 Silicone Connector,4.76,LEDYI,SHENZHEN
1793,IP67 Silicone Connector,4.76,LEDYI,SHENZHEN
1897,IP67 Silicone Connector,4.76,LEDYI,SHENZHEN
2115,IP67 Silicone Connector,4.76,LEDYI,SHENZHEN
2160,IP67 Silicone Connector,2.98,LEDYI,SHENZHEN
252,S1617-cap-E-IP67-V2,1.43,LEDYI,SHENZHEN
255,S1617-cap-E-IP67-V2,2.38,LEDYI,SHENZHEN
253,S1617-cap-S-IP67-V2,1.43,LEDYI,SHENZHEN
256,S1617-cap-S-IP67-V2,2.38,LEDYI,SHENZHEN
254,S1617-cap-B-IP67-V2,1.43,LEDYI,SHENZHEN
257,S1617-cap-B-IP67-V2,2.38,LEDYI,SHENZHEN
378,S1615-cap-E-IP67-V2,1.43,LEDYI,SHENZHEN
381,S1615-cap-E-IP67-V2,2.38,LEDYI,SHENZHEN
379,S1615-cap-S-IP67-V2,1.43,LEDYI,SHENZHEN
382,S1615-cap-S-IP67-V2,2.38,LEDYI,SHENZHEN
391,S1615-AMP,2.46,LEDYI,SHENZHEN
392,S1615-AMP,1.64,LEDYI,SHENZHEN
501,S1225-cap-E-IP67- V2,1.21,LEDYI,SHENZHEN
502,S1225-cap-E-IP67- V2,1.93,LEDYI,SHENZHEN
625,S1220-cap-EE-IP67-V3,2.28,LEDYI,SHENZHEN
626,S1220-cap-EE-IP67-V3,2.62,LEDYI,SHENZHEN
632,S1220-cap-E-IP67- V2,1.43,LEDYI,SHENZHEN
635,S1220-cap-E-IP67- V2,2.38,LEDYI,SHENZHEN
633,S1220-cap-S-IP67- V2,1.43,LEDYI,SHENZHEN
636,S1220-cap-S-IP67- V2,2.38,LEDYI,SHENZHEN
634,S1220-cap-B-IP67- V2,1.43,LEDYI,SHENZHEN
637,S1220-cap-B-IP67- V2,2.38,LEDYI,SHENZHEN
713,S1212-cap-E-IP67-V2,1.43,LEDYI,SHENZHEN
716,S1212-cap-E-IP67-V2,2.38,LEDYI,SHENZHEN
714,S1212-cap-S-IP67-V2,1.43,LEDYI,SHENZHEN
717,S1212-cap-S-IP67-V2,2.38,LEDYI,SHENZHEN
715,S1212-cap-B-IP67-V2,1.21,LEDYI,SHENZHEN
718,S1212-cap-B-IP67-V2,1.93,LEDYI,SHENZHEN
722,IP67 PVC Black Cable,0.98,LEDYI,SHENZHEN
932,IP67 PVC Black Cable,0.98,LEDYI,SHENZHEN
992,IP67 PVC Black Cable,0.57,LEDYI,SHENZHEN
1080,IP67 PVC Black Cable,0.98,LEDYI,SHENZHEN
1168,IP67 PVC Black Cable,1.07,LEDYI,SHENZHEN
1411,IP67 PVC Black Cable,0.98,LEDYI,SHENZHEN
1649,IP67 PVC Black Cable,0.98,LEDYI,SHENZHEN
1684,IP67 PVC Black Cable,0.98,LEDYI,SHENZHEN
1895,IP67 PVC Black Cable,0.98,LEDYI,SHENZHEN
2113,IP67 PVC Black Cable,0.98,LEDYI,SHENZHEN
2158,IP67 PVC Black Cable,0.57,LEDYI,SHENZHEN
829,Cable,0.88,LEDYI,SHENZHEN
1189,Cable,0.50,LEDYI,SHENZHEN
1209,Cable,0.50,LEDYI,SHENZHEN
1789,Cable,0.98,LEDYI,SHENZHEN
2007,Cable,0.98,LEDYI,SHENZHEN
2031,Cable,0.50,LEDYI,SHENZHEN
2233,Cable,0.88,LEDYI,SHENZHEN
830,IP67 connector,3.38,LEDYI,SHENZHEN
2008,IP67 connector,3.64,LEDYI,SHENZHEN
2234,IP67 connector,3.38,LEDYI,SHENZHEN
936,S1018-cap-E-IP67-V2,1.43,LEDYI,SHENZHEN
937,S1018-cap-E-IP67-V2,2.38,LEDYI,SHENZHEN
996,S1010-cap-E-IP67-V2,1.12,LEDYI,SHENZHEN
999,S1010-cap-E-IP67-V2,1.74,LEDYI,SHENZHEN
997,S1010-cap-S-IP67-V2,1.12,LEDYI,SHENZHEN
1000,S1010-cap-S-IP67-V2,1.74,LEDYI,SHENZHEN
998,S1010-cap-B-IP67-V2,1.12,LEDYI,SHENZHEN
1001,S1010-cap-B-IP67-V2,1.74,LEDYI,SHENZHEN
1161,S0612-cap-S-IP67-V2,1.21,LEDYI,SHENZHEN
1164,S0612-cap-S-IP67-V2,1.93,LEDYI,SHENZHEN
1162,S0612-cap-B-IP67-V2,1.21,LEDYI,SHENZHEN
1165,S0612-cap-B-IP67-V2,1.93,LEDYI,SHENZHEN
1187,S0408PRO-cap-IP44-V2,0.83,LEDYI,SHENZHEN
1188,S0408PRO-cap-IP44-V2,1.07,LEDYI,SHENZHEN
1207,S0306-cap-IP44-V2,0.83,LEDYI,SHENZHEN
1208,S0306-cap-IP44-V2,1.07,LEDYI,SHENZHEN
1235,Round wire/ 1m per roll,0.50,LEDYI,SHENZHEN
1284,Round wire/ 1m per roll,0.60,LEDYI,SHENZHEN
1236,Wires/Silicone 1m per roll,1.83,LEDYI,SHENZHEN
1285,Wires/Silicone 1m per roll,2.10,LEDYI,SHENZHEN
1238,M12 male plug,0.90,LEDYI,SHENZHEN
1287,M12 male plug,1.65,LEDYI,SHENZHEN
1239,M12 female plug,0.90,LEDYI,SHENZHEN
1288,M12 female plug,1.65,LEDYI,SHENZHEN
1240,3D1617HS-cap-E-IP67-V2 IP67 Silicone Injection mold end cap,1.42,LEDYI,SHENZHEN
1243,3D1617HS-cap-E-IP67-V2 IP67 Silicone Injection mold end cap,1.80,LEDYI,SHENZHEN
1241,3D1617HS-cap-S-IP67-V2 IP67 Silicone Injection mold end cap,1.42,LEDYI,SHENZHEN
1244,3D1617HS-cap-S-IP67-V2 IP67 Silicone Injection mold end cap,1.80,LEDYI,SHENZHEN
1242,3D1617S-cap-B-IP67-V2 IP67 Silicone Injection mold end cap,1.42,LEDYI,SHENZHEN
1245,3D1617S-cap-B-IP67-V2 IP67 Silicone Injection mold end cap,1.80,LEDYI,SHENZHEN
1291,3D1617S-cap-B-IP67-V2 IP67 Silicone Injection mold end cap,1.67,LEDYI,SHENZHEN
1294,3D1617S-cap-B-IP67-V2 IP67 Silicone Injection mold end cap,2.86,LEDYI,SHENZHEN
1289,3D1617S-cap-E-IP67-V2 IP67 Silicone Injection mold end cap,1.67,LEDYI,SHENZHEN
1292,3D1617S-cap-E-IP67-V2 IP67 Silicone Injection mold end cap,2.86,LEDYI,SHENZHEN
1290,3D1617S-cap-S-IP67-V2 IP67 Silicone Injection mold end cap,1.67,LEDYI,SHENZHEN
1293,3D1617S-cap-S-IP67-V2 IP67 Silicone Injection mold end cap,2.86,LEDYI,SHENZHEN
1396,T1617-cap-E-IP67-V2,1.43,LEDYI,SHENZHEN
1399,T1617-cap-E-IP67-V2,2.38,LEDYI,SHENZHEN
1397,T1617-cap-S-IP67-V2,1.43,LEDYI,SHENZHEN
1400,T1617-cap-S-IP67-V2,2.38,LEDYI,SHENZHEN
1398,T1617-cap-B-IP67-V2,1.43,LEDYI,SHENZHEN
1401,T1617-cap-B-IP67-V2,2.38,LEDYI,SHENZHEN
1535,T1615-cap-EE-IP67-V3,2.28,LEDYI,SHENZHEN
1536,T1615-cap-EE-IP67-V3,2.62,LEDYI,SHENZHEN
1641,T1212-cap-E-IP67-V2,1.36,LEDYI,SHENZHEN
1643,T1212-cap-E-IP67-V2,2.24,LEDYI,SHENZHEN
1642,T1212-cap-B-IP67-V2,1.36,LEDYI,SHENZHEN
1645,T1212-cap-B-IP67-V2,2.24,LEDYI,SHENZHEN
1887,T2020-cap-E-IP67-V2,1.43,LEDYI,SHENZHEN
1890,T2020-cap-E-IP67-V2,2.38,LEDYI,SHENZHEN
1888,T2020-cap-S-IP67-V2,1.43,LEDYI,SHENZHEN
1891,T2020-cap-S-IP67-V2,2.38,LEDYI,SHENZHEN
1889,T2020-cap-B-IP67-V2,1.43,LEDYI,SHENZHEN
1892,T2020-cap-B-IP67-V2,2.38,LEDYI,SHENZHEN
2029,T0606-cap-IP67-V2,0.83,LEDYI,SHENZHEN
2030,T0606-cap-IP67-V2,1.07,LEDYI,SHENZHEN
2104,T1010-cap-IP67-V2,0.70,LEDYI,SHENZHEN
2154,T1010-cap-IP67-V2,1.12,LEDYI,SHENZHEN
2155,T1010-cap-IP67-V2,1.74,LEDYI,SHENZHEN
2105,T1010-cap-E-IP67-V2,1.43,LEDYI,SHENZHEN
2108,T1010-cap-E-IP67-V2,2.38,LEDYI,SHENZHEN
2106,T1010-cap-S-IP67-V2,1.43,LEDYI,SHENZHEN
2109,T1010-cap-S-IP67-V2,2.38,LEDYI,SHENZHEN
2107,T1010-cap-B-IP67-V2,1.43,LEDYI,SHENZHEN
2110,T1010-cap-B-IP67-V2,2.38,LEDYI,SHENZHEN
2118,T1010-MP-1,1.31,LEDYI,SHENZHEN
2163,T1010-MP-1,1.40,LEDYI,SHENZHEN
